id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous,predicted_values,Classification_Success
7579,3836939,(2018 YA),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
43837,3767252,(2017 BH32),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
89844,54264235,(2022 FA1),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
54355,3824070,(2018 JS1),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
66639,3831887,(2018 UC1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
90741,54253552,(2022 ER4),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
43154,3754384,(2016 ND1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
71024,3740934,(2016 BD15),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
73014,3761268,(2016 UT4),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
2798,3354955,(2006 UZ215),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
49399,3782015,(2017 SZ20),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
66134,54101673,(2020 YJ2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
48553,3776117,(2017 MN7),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
85188,2162463,162463 (2000 JH5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
88256,54106593,(2021 BZ2),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
25885,3703077,(2014 YT34),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
48210,3764824,(2016 WB8),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
37718,3599862,(2012 DE31),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
77546,54055106,(2020 TZ2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
88536,3730580,(2015 TY237),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
27312,3764838,(2016 WR8),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
12351,3267343,(2005 CP38),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
31172,2010563,10563 Izhdubar (1993 WD),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
18999,54159398,(2021 LA6),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
78070,3550073,(2010 UJ7),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
34034,3710246,(2015 CA14),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
19418,3773594,(2017 FN127),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
39254,3605942,(2012 MB7),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
9994,3670630,(2014 JU15),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
34972,3689346,(2014 SV141),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
23599,3263538,(2004 XM29),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
29351,2483504,483504 (2002 XN14),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
26997,3455472,(2009 FR32),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
7619,54095170,(2020 WT4),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
27357,3893728,(2019 WX4),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
28929,3467061,(2009 RN),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
84299,54016674,(2020 HT3),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
40607,3617390,(2012 VH46),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
63507,3698846,(2014 WV202),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
90389,54016913,(2020 HF9),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
14664,2008567,8567 (1996 HW1),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
43563,3837918,(2019 AR13),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
86862,54054609,(2020 SK4),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
2558,3789639,(2017 WC14),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
14936,54131529,(2021 EM4),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
14264,3553169,(2010 XC15),True,True,True,True,Earth,False,True,True,True,Correctly_Classified
87720,2482533,482533 (2012 UA34),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
6769,2446789,446789 (1998 FN9),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
3997,3117459,(2002 FQ5),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
65665,3771645,(2017 FH3),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
77969,54016758,(2020 HL6),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
83426,54132429,(2021 FB2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
57638,3840773,(2019 GS),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
45525,54104252,(2021 AL),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
12477,2211914,211914 (2004 RM251),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
38514,3714452,(2015 FQ117),True,True,True,True,Earth,False,True,True,True,Correctly_Classified
69263,3728897,(2015 TB),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
30802,3550466,(2010 VZ11),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
31709,3756040,(2016 NY55),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
71354,2376788,376788 (2000 RV37),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
55591,3762166,(2016 UE57),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
68291,3725762,(2015 PS57),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
67074,54016613,(2020 HY1),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
47267,3774610,(2017 JC3),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
50403,3789371,(2017 VD13),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
41185,3621018,(2012 XJ134),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
53720,3746214,(2016 EF85),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
64680,2533722,533722 (2014 NE52),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
34399,3559547,(2011 EW29),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
46516,2483989,483989 (2006 CY10),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
90322,54226123,(2021 XZ),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
82027,3796290,(2017 YQ8),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
22371,3174184,(2004 BG41),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
47230,2490354,490354 (2009 FF19),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
84063,54098703,(2020 XA2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
77599,54055121,(2020 TS3),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
80687,54209314,(2021 TB15),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
71698,3748516,(2016 GC),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
25072,3841509,(2019 HE),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
33949,3837745,(2019 AR7),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
21770,3394709,(2007 VB188),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
15490,54184282,(2021 PD7),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
43180,3756748,(2016 NB56),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
75002,3893489,(2019 WQ2),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
2259,3256326,(2004 TJ10),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
51480,3429818,(2008 TC2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
74879,3893547,(2019 WA3),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
80271,2015817,15817 Lucianotesi (1994 QC),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
12060,3729233,(2015 TG24),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
49764,3655732,(2013 YT102),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
61217,3556206,(2011 CQ1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
20074,2168044,168044 (2005 SG),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
69453,2374267,374267 (2005 LW),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
19149,3799299,(2018 CS2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
35326,3599934,(2012 DY32),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
32593,54092913,(2020 WF3),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
60253,3756911,(2016 PD1),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
42084,2276770,276770 (2004 HC),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
70588,3739262,(2016 AO9),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
6094,3780791,(2017 QD3),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
19816,3791243,(2017 XA1),True,True,True,True,Earth,False,True,True,True,Correctly_Classified
85896,54192202,(2021 RS1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
56557,3625130,(2013 BT45),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
20619,54017274,(2020 KY5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
88593,3655754,(2014 AZ16),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
79516,2495021,495021 (2010 SH15),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
1450,3273968,(2005 ER95),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
12030,54130076,(2021 EC1),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
10789,3825646,(2018 NJ4),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
25297,3601670,(2012 FQ35),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
45726,54105109,(2021 AO4),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
14261,3669360,(2014 HO129),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
20865,3309828,(2005 YQ96),True,True,True,True,Earth,False,True,True,True,Correctly_Classified
33271,3024714,(1999 XK136),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
35420,54177982,(2021 PZ),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
77262,54016493,(2020 GB2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
60833,54087812,(2020 VY4),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
8356,3989220,(2020 BV9),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
6923,54205433,(2010 MD127),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
7858,3989814,(2020 CY1),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
52002,54130498,(2021 EY1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
64836,3508162,(2010 DM21),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
32577,54117579,(2021 CL7),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
21041,3608932,(2012 SY20),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
53548,3730623,(2015 TF202),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
17506,3719196,(2015 JR1),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
3909,3713268,(2015 EB7),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
10624,3748472,(2016 FU12),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
78988,3560079,(2011 FQ6),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
64281,3684638,(2014 QD364),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
43862,3758261,(2016 QP44),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
56939,3701712,(2014 XB6),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
6680,3435544,(2008 VC),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
72272,3699898,(2014 WM368),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
19193,3989671,(2020 CL1),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
56062,54017701,(2020 MJ4),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
35966,3564852,(2011 HD63),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
42195,2365449,365449 (2010 NJ1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
23571,2333478,333478 (2004 SD20),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
83582,54132433,(2021 FF2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
17825,2504181,504181 (2006 TC),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
3938,3549640,(2010 UK),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
60596,3601398,(2012 ER14),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
58594,3636251,(2013 HH19),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
20902,54109175,(2021 CC),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
52586,2475967,475967 (2007 JF22),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
58973,3648642,(2013 SM20),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
43636,3752777,(2016 JV5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
56023,3837584,(2019 AK2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
34179,3608623,(2012 RM15),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
86007,3337595,(2006 OA5),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
29405,54245585,(2022 CV2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
70210,54017089,(2020 KX),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
48498,2366733,366733 (2004 BG121),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
16516,2447221,447221 (2005 UO5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
38347,2389694,389694 (2011 QD48),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
29308,3536565,(2010 NM),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
31789,3378732,(2007 MC4),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
27716,3413261,(2008 LH2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
36946,3588015,(2011 WN2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
29387,54204644,(2021 TH4),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
57385,3714452,(2015 FQ117),True,True,True,True,Earth,False,True,True,True,Correctly_Classified
46667,3769805,(2017 DL34),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
24493,3426636,(2008 RV),True,True,True,True,Earth,False,True,True,True,Correctly_Classified
2402,3392308,(2007 VK3),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
79359,54051134,(2020 QJ),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
12510,3401191,(2008 BP16),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
83706,54054322,(2020 RQ6),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
73247,3976579,(2020 AF2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
7471,3645042,(2013 ND15),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
18446,2504711,504711 (2009 SP171),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
11840,2514596,514596 (2003 FG),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
14577,54248948,(2022 EP),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
11513,3256427,(2004 TW11),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
3691,2252793,252793 (2002 FW5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
19964,3410474,(2008 JM20),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
55751,3836663,(2018 WP2),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
5326,2142464,142464 (2002 TC9),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
36626,3589133,(2011 WP41),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
85643,3329255,(2006 FH36),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
35410,2172722,172722 (2004 BV102),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
46217,3769709,(2017 DS15),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
43296,3753921,(2016 LX47),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
1912,3092092,(2001 RO3),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
13825,2509073,509073 (2005 UM5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
13854,3402200,(2008 CA22),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
87004,54209296,(2021 TV13),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
17589,54195885,(2021 RK12),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
22411,3399085,(2008 AF3),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
42211,54130488,(2021 EO1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
10996,2416584,416584 (2004 JB12),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
14297,3080637,(2001 QJ96),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
75716,3943370,(2019 YH2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
21027,3626614,(2013 CV83),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
67877,3465534,(2009 PC),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
16764,3884015,(2019 UY8),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
72446,3842872,(2019 LV4),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
60492,3782065,(2017 TJ1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
30327,2309662,309662 (2008 EE),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
24337,3457386,(2009 HC),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
87308,3445629,(2009 CA2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
23532,3695295,(2014 UL175),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
90288,54136770,(2021 GG8),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
42567,2136818,136818 Selqet (1997 MW1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
82515,54106540,(2021 BY1),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
59910,3599252,(2012 CO36),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
84869,3440395,(2008 WS62),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
32858,3747495,(2016 EE195),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
82296,54190080,(2021 QO1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
82018,54101656,(2020 YM1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
10057,54075984,(2020 UM3),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
55722,3781451,(2017 RK15),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
13380,3031176,(2000 EB14),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
3675,3771799,(2017 FR63),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
51454,3798979,(2018 BR6),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
39585,3465534,(2009 PC),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
3800,3787068,(2017 US),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
59254,3828422,(2018 RD5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
56635,3838032,(2019 BG3),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
60938,3652982,(2013 UC1),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
9538,54016236,(2020 FS1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
28899,54016721,(2020 HA5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
34168,3787101,(2017 UU1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
76291,2137120,137120 (1999 BJ8),True,True,True,True,Earth,False,True,True,True,Correctly_Classified
19485,2163191,163191 (2002 EQ9),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
70861,3715507,(2015 GY),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
71328,3745052,(2016 EL1),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
22245,3553284,(2010 XD25),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
27876,54048846,(2020 OD),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
51202,3797677,(2018 AC12),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
47301,3774114,(2017 HG4),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
50277,3788012,(2017 UV4),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
58819,3337999,(2006 PF1),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
10036,2164207,164207 (2004 GU9),True,True,True,True,Earth,False,True,True,True,Correctly_Classified
57111,3838251,(2019 CT4),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
38445,3602021,(2012 FD58),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
45115,3761398,(2016 UW5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
12639,2357622,357622 (2005 EY95),True,True,True,True,Earth,False,True,True,False,Incorrectly_Classified
37802,3666431,(2014 FZ6),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
23940,3842907,(2019 LU5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
50972,3799656,(2018 BG11),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
41585,3837917,(2019 AM13),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
2656,3736498,(2015 XD261),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
70765,3558278,(2011 EK),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
47842,2066391,66391 Moshup (1999 KW4),True,True,True,True,Earth,False,True,True,True,Correctly_Classified
33661,3763940,(2016 WR),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
52894,3824089,(2018 JK2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
63325,3773049,(2017 FP102),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
14003,3285075,(2005 OX1),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
32256,3549035,(2010 TS55),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
53922,54236938,(2022 AS6),True,True,True,True,Earth,False,True,False,True,Incorrectly_Classified
11898,54219796,(2021 VP12),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
17188,3767010,(2017 BO6),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
30823,3636252,(2013 HJ19),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
65839,3702941,(2014 YQ9),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
48284,3826775,(2018 PK21),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
58830,3781642,(2017 SO10),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
85056,54217962,(2021 VW5),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
65278,3694048,(2014 UT33),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
83978,3763416,(2016 VP2),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
87574,54217975,(2021 VB7),True,True,True,True,Earth,False,True,False,False,Correctly_Classified
