Component Name,Description,Person of Contact,"Owning Group (AI4CI, CI4AI, etc)",Stand-alone from Tapis? (Yes/No),Depends on (Components),Dependency for Other Components,Which Use-inspired science case is using it now?,Which Use-inspired Science Cases will be using it in the future?,Testing/QA process,"Releases (i.e., how do people get the software?)",Code Repositories,Requirements and Usage Document,Status,Last Time This Row was updated
Farm2Facts,"F2F toolkit is for farmers market managers and organizations that use data, or want to start using data, to make informed decisions and communicate with stakeholders to achieve market goals. Concretely, it is a Ruby n raiils server",Alfonso Morales,Smart Foodsheds,Yes,"KGs, Ontologies",Smart Foodsheds,,Smart Foodsheds,,,Private software,,,10/20/2022
ConvAI,A flexible conversatioanl AI software. ConvAI can be embedded in an ICICLE client or it can be deployed as a standalone cloud API,Yu Su,AI Foundations,Yes and No,,,,Kroger Closure,,,,,,10/25/2022
FL,"Federated Learning framework. Currently, cannot apply FL like an API. Rather, it needs to be deeply integrated with the training process of specific models.",Wei-Lun Chao,AI Foundations,Yes,,,,,,,,,,10/25/2022
Model Commons,Repository of reusable ML models with deep integration into the rest of the ICICLE CI,,AI Foundations,No,,,,"Animal Ecology, Smart Foodsheds, Kroger Closures",,,,,,10/25/2022
Mint application first review for Model Commons,"Mint is a model commons option that allows us to store AI models, store model metadata, and run said models ""easily"". Currently this is a proof-of-concept and initial review project to see if this is a good fit for the institute. In the future models could be ran on Tapis, but standing up the service is still the current work.","Dhruv Venkataraman, Beth Plale",AI Foundations,"Yes, might at some point integrate with Tapis",(Might depend on) Tapis Jobs ,AI,AI Foundations,All AI based groups needing to get/run models,,Mint is on Github. No new product here yet.,Repo: https://github.com/mintproject/mint,,Dhruv is currently in the process of standing up a MINT instance for testing and concurrently using the ISI (models.mint.isi.edu) instance of MINT for even quicker testing/initial workflow planning while our instance is setup with the help from the MINT team.,10/26/2022
Gradient Sparsification PyTorch communication Optimizer,An improvement of communication in PyTorch by reducing the computation and communication volume and frequency.,Zhao Zhang,CI4AI,Yes,PyTorch,,,"Animal Ecology, Digital Ag","
At this stage, we expect the code changes to be from the core team members. But we are open to external contributions once the code is released. 
Will adopt the common PR process for QA, and we will also setup GitHub CI to run unit and integration tests. The software will be released on GitHub.","To enable gradient sparsification, users need to install our Python package and explicitly wrap the old optimizer with our new optimizer.",Wll be on github but not yet,,"This work is under development, and we already have a running version. We expect to complete the convergence study and performance comparison by spring, 2023. This work is going to be open source on GitHub.",10/25/2022
High Performance Communication Libraries ,"The aim of this work is to leverage, adapt, and optimize communication libraries for HPC systems in order to reduce the communication overhead for high-performance model training. Enhancing this feature on the communication library level yields immediate benefits across the different distributed ML/DL frameworks level.",Aamir Shafi,CI4AI,Yes,MPI communication libraries such as MVAPICH2,,Digital Ag,Smart Foodshds,"The code changes are done by the core team, but external contributors are encouraged to test and add to the code. New features are first comprehensively tested in a private branch and PR requests are raised so that new features are included in future releases.",This work is being integrated as a part of the open-source MVAPICH2 library. Any new enhancements will be available in the next release of the library. RPMs for the several MVAPICH2 software libraries can be downloaded online by visiting https://mvapich.cse.ohio-state.edu/.,,,,10/25/2022
Parallelism for DL Frameworks ,"This work explores and enhances the different parallelization strategies for ML/DL like data parallelism, model parallelism, hybrid parallelism for accelerating DNN training on modern HPC systems. Furthermore, the work is concerned with devising techniques to accelerate hyperparameter optimizations.",Aamir Shafi,CI4AI,Yes,DL frameworks such as PyTorch and TensorFlow and distributed DL frameworks such as torch.distributed and Horovod.,,,Digital Ag,"Contributions will be made mainly by the core team members, but external collaboration is encouraged once the code is publicly available. PR process is used in code development.",Software will be released as Python packages that can be used by the community.,,,This work is under development. Designs will be implemented separately and integrated together at later stages if needed.,10/25/2022
Scalable High-Performance Data Management,"The software seamlessly organizes a massive dataset and moves data between the local system and the cloud, possibly offloading computation to the cloud as lambdas. The goal is to offer low storage cost and fast data access speed. The software is an HDF5 VOL extension, that sits on the I/O path of the HDF5 library. VOL is a component of the HDF5 library, which supports customized functionalities without modifying the original HDF5 API that current users and tools are built on.",Spyros Blanas,CI4AI,Yes,"HDF5, a popular open-source storage format for multi-dimensional data.",,,"Animal Ecology, Digitial Ag","We will follow the established software engineering procedures (code
 review, open comments, bug tracking system, etc.). We will take 
advantage of the existing testing and CI infrastructure by the HDF5 
library",,"The code is currently in a private branch as we await publication of the results. After publication, we plan to integrate with existing repositories of VOL components.",,,10/25/2022
Performance Characterization of ML frameworks on Edge Devices,"Thiw work characterizes the performance of modern edge devices such as Raspberry Pi and Jetson, optimize ML/DL inference workloads, and create profiling methods to monitor the data and use of AI for CI techniques to improve edge device operations. The team is experimenting with the MLPerf Inference Edge benchmarks to better understand the capabilities of edge devices using different DL frameworks. Furthermore, techniques such as model quantization are being examined to optimize the ML/DL inference, reducing memory and compute requirements while",Aamir Shafi,CI4AI,Yes,"DL frameworks such as TFLite, ONNX, PyTorch, and OpenVINO. It also depends on optimized libraries for specific architectures like ArmNN, XNNPACK, etc.",,,,,,,,,10/25/2022
AI-adaptive Wreless Communication,"We plan to modify the physical and MAC layer of the current LTE/5G system to enable predictable interference control and real-time communications. These software components will be reside with edge devices such as gateways, drones, and sensors. Conceptually, they belong to the network stack below the transport layer. ",Hongwei Zhang,CI4AI,Yes,,,,Digital Ag,"This is research prototypes, and we do not adopt any formal QA mechanisms at this point.",The code will be open source. It is a version of srsran and users need to build it inside the srsran.,,,"This is research prototypes, and we do not adopt any formal QA mechanisms at this point.",10/25/2022
Model Training and Inference APIs with Support for Performance and Resource Utilization Prediction,"APIs enabling projects and end users to submit model training/inference jobs, monitor job status, and terminate jobs. Performance and memory usage prediction of job based on the user supplied model will be provided",Zhao Zhang,CI4AI,No,Base ICICLE Tapis,Smart Scheduling,,"Smart Foodsheds, Digital Ag, Animal Ecology","This software wll be bundled with Tapis and will be subjected to the same testing and QA process as all other Tapis code: i.e., CI via unit and integration tests","As with all other Tapis software, 
Containers available from: https://hub.docker.com/u/tapis
Services available at: https://icicle.tapis.io
Documentation: https://tapis.readthedocs.org",https://github.com/orgs/tapis-project/repositories,,The basic functionality should be available by now. We expect the performance interface to be available by Fall 2023.,10/25/2022
Intelligent Resource Provisioning with Tapis,"This software enables low-interruption resource provisioning for long-running DL training/inference jobs/services on GPU clusters, especially when they are heavily loaded.",Joe Stubbs and Zhao Zhang,CI4AI,No,Base ICICLE Tapis,Smart Scheduling,,"Smart Foodsheds, Digital Ag, Animal Ecology","This software wll be bundled with Tapis and will be subjected to the same testing and QA process as all other Tapis code: i.e., CI via unit and integration tests","As with all other Tapis software, 
Containers available from: https://hub.docker.com/u/tapis
Services available at: https://icicle.tapis.io
Documentation: https://tapis.readthedocs.org",https://github.com/orgs/tapis-project/repositories,,"This work has two parts: the model and the interface. So far, our focus is the model. We expect the software to be integrated with Tapis in Fall 2023.",10/25/2022
Privacy-preserving Data Collection Module,This software provides privacy-preserving data collection from the untrusted data generators ,Erman Ayday,PADI,Yes,,,,,,,,,Software has a prototype implementation. It is either available or will be available soon on a github repository. It is maintained by a former student.,10/25/2022
Privacy-preserving Reproducibility for Statistical Analyses Module,This software provides reproducibility and verifiability of AI models where dataset can’t be shared ,Erman Ayday,PADI,Yes,,,,,,,github,,Software has a prototype implementation. It has been peer reviewed and it is publicly available on a github repository. It is maintained by a student.,10/25/2022
Privacy-preserving fingerprinting for Relational DBs,This software provde privacy-preserving sharing of research datasets in relational databases under liability guarantees,Erman Ayday,PADI,Yes,,,,,,,github,,Software has a prototype implementation. It is publicly available on a github repository. It is maintained by a student.,10/25/2022
Privacy-Preserving Framework for Conducting Association Studies over Outsourced Patient Data ,This software provides privacy-preserving collaborative data analysis on the cloud. ,Erman Ayday,PADI,Yes,,,,,,,,,Software has a prototype implementation. It is either available or will be available soon on a github repository. It is maintained by a former student.,10/25/2022
Privacy-ensuring Federated Data Analysis by Identifying Record Correlations,"This software provides privacy-preserving quality control for collaborative studies (e.g., federated learning) ",Erman Ayday,PADI,Yes,,,,,,,,,Software has a prototype implementation. It is either available or will be available soon on a github repository. It is maintained by a former student.,10/25/2022
Privacy Ontology Framework,"Framework that evaluates the specific needs of each use case project. Proposed framework will learn the used data types, user roles, intended operations and privacy, legality requirements. Proposed framework will recommend users automated and tailored for need privacy preservation techniques and benchmark the results in user friendly manner ",Erman Ayday,PADI,Yes,,,,,,,,,Development is still on progress,10/25/2022
XAI Attack Type,New attack type that exploits explainable AI for enhancing the capabilities of regular model inversion/extraction attacks,Erman Ayday,PADI,Yes,,,,,,,,,Development is still on progress,10/25/2022
Privacy Risks and Requirements Identification while Sharing Farming Data,"The goal is to identify the main requirements/concerns related to sharing farming data: (i) incentive of the data owner , (ii) privacy concerns, (iii) ethical concerns related to how the collected data is used, (iv) data ownership, (v) security concerns, and (vi) trust for infrastructure ",Erman Ayday,PADI,Yes,,,,,,,,,Development is still on progress,10/25/2022
FoodFlow Software Components,"Supply chain management software supporting logistics in the public interest, especially access to food and wholesale market information not typically available to small, regional and independent businesses.",Michelle Miller,,,Public models that need to be enhanced and incorporated into the Model Commons; PADI for privacy concerns.,,,Smart Foodsheds,,Food Flow Model code expected to be available in Github.,,,Need to follow up with Song about the details regarding these KGs/datasets,10/26/2022
US Commodity flow KG,,Song Gao,AI Foundations,Yes,,,,,,,,,Need to follow up with Song about the details regarding these KGs/datasets,10/26/2022
Fact2facts KG,,Song Gao,AI Foundations,Yes,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Saday  Sadayappan,,,,,,,,,,,,
